"","number_of_peptides_B_3","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_A_1"
"4131",27,29,27,29,30,29
"4132",8,9,10,8,8,9
"4133",26,25,25,27,27,26
"4134",19,19,18,19,19,19
"4135",20,18,19,20,17,17
"4136",9,8,9,9,9,8
"4137",1,2,2,2,2,2
"4138",13,16,17,16,15,15
"4139",27,28,26,30,27,31
"4140",6,6,6,6,7,5
"4141",1,1,1,1,1,1
"4142",7,5,6,6,5,6
"4144",1,1,1,1,2,1
"4145",7,8,8,8,8,8
"4146",4,3,4,4,4,4
"4147",5,2,3,2,2,2
"4148",1,2,2,2,2,2
"4149",3,2,4,2,2,2
"4150",10,9,7,10,8,10
"4151",13,13,13,12,13,11
"4152",2,2,2,1,2,2
"4153",2,2,3,3,2,2
"4155",3,3,3,3,3,3
"4156",6,5,6,4,6,5
"4157",11,11,9,12,9,11
"4158",7,7,7,7,7,7
"4159",3,3,4,4,3,4
"4161",22,23,22,22,23,22
"4162",6,5,4,7,4,7
"4163",3,2,3,3,3,2
"4165",2,3,2,3,1,1
"4166",5,6,6,6,6,6
"4167",3,3,2,3,2,3
"4168",3,2,3,2,3,2
"4169",4,4,4,3,3,2
"4170",3,3,2,3,3,3
"4173",3,1,1,2,3,3
"4174",9,10,11,9,8,9
"4175",3,3,4,3,2,3
"4176",2,1,2,1,2,1
"4177",3,2,3,3,3,3
"4178",8,9,8,6,8,8
"4179",3,3,2,3,3,2
"4180",10,9,10,10,10,9
"4181",3,2,3,2,3,2
"4182",8,9,8,8,7,8
"4183",4,4,4,3,4,3
"4184",6,6,6,6,6,4
"4185",3,2,2,3,3,2
"4186",2,3,3,4,4,4
"4187",7,5,7,6,5,5
"4188",8,11,10,12,10,12
"4189",1,1,1,1,1,1
"4190",10,9,9,11,8,10
"4192",2,3,3,2,3,4
"4193",2,3,4,4,4,4
"4194",9,8,9,8,9,8
"4195",4,3,3,2,3,2
"4196",14,13,13,14,13,14
"4197",2,2,1,2,2,1
"4198",2,2,2,2,2,2
"4199",2,4,4,2,1,3
"4200",2,1,2,2,2,1
"4201",2,2,2,2,1,2
"4202",1,2,2,1,1,1
"4203",3,1,2,2,2,1
"4204",5,5,5,3,3,3
"4205",3,3,3,3,2,2
"4206",5,5,5,3,5,5
"4208",4,3,4,3,3,4
"4209",1,2,1,2,2,2
"4210",10,10,9,10,9,10
"4211",2,3,2,1,2,1
"4212",3,3,3,3,3,3
"4213",7,6,6,6,7,6
"4214",2,6,5,6,4,5
"4216",6,6,6,5,6,9
"4217",2,3,2,2,3,3
"4218",1,1,1,1,1,1
"4219",2,2,2,1,2,1
"4220",1,1,1,1,1,1
"4221",14,11,15,13,11,12
"4222",9,10,9,9,10,9
"4224",11,12,13,12,11,12
"4225",2,3,1,3,2,1
"4226",2,1,1,2,2,2
"4227",6,7,7,6,9,6
"4228",3,3,2,2,3,3
"4229",9,10,11,10,12,10
"4230",2,2,2,2,2,2
"4231",7,7,7,6,6,7
"4232",4,3,3,3,3,3
"4233",4,4,4,4,4,4
"4234",6,5,5,5,6,6
"4235",5,4,3,4,6,2
"4236",5,7,6,7,7,4
"4237",11,10,9,11,11,8
"4238",5,5,5,5,5,5
"4239",1,1,1,2,1,1
"4240",3,4,3,3,4,4
"4241",3,3,3,3,2,2
"4242",13,14,14,15,14,14
"4243",3,3,4,4,3,4
"4244",2,2,3,4,2,3
"4245",1,1,2,2,1,1
"4246",10,8,8,10,10,8
"4248",16,16,16,18,17,16
"4249",10,9,10,10,10,9
"4251",11,8,9,9,9,8
"4252",4,3,2,3,4,3
"4253",4,3,4,3,4,3
"4254",7,5,6,7,7,7
"4255",5,4,4,4,5,6
"4256",2,1,2,1,1,1
"4257",2,2,1,2,1,1
"4258",10,8,10,9,10,9
"4259",3,4,4,4,2,3
"4260",6,2,4,3,4,4
"4261",2,2,1,2,2,2
"4262",2,2,1,3,2,3
"4263",6,4,4,3,5,3
"4265",4,4,4,4,4,4
"4266",9,6,8,6,7,5
"4267",13,10,13,12,12,12
"4268",7,3,7,8,7,6
"4269",4,3,4,3,4,3
"4270",15,15,13,15,16,14
"4271",9,8,9,8,7,8
"4274",2,1,1,1,1,1
"4275",1,2,2,2,2,2
"4276",1,1,2,3,1,2
"4278",2,1,4,3,3,3
"4280",7,5,5,4,5,5
"4281",2,1,1,1,1,1
"4282",3,3,3,2,2,5
"4283",4,3,3,3,3,3
"4284",10,9,9,8,7,9
"4285",17,17,17,17,18,19
"4287",2,2,2,2,2,2
"4288",7,9,6,10,6,9
"4290",13,14,14,15,15,14
"4291",4,5,5,2,4,5
"4292",6,6,6,6,6,7
"4293",17,15,15,16,17,16
"4294",2,3,3,3,3,3
"4295",12,11,11,9,9,9
"4296",4,4,4,3,4,3
"4297",3,2,3,3,3,1
"4298",14,12,14,12,14,13
"4299",3,3,3,2,2,3
"4300",9,8,8,10,6,10
"4301",1,1,1,2,1,1
"4302",3,3,3,2,3,2
"4303",3,1,2,3,3,3
"4304",7,9,7,7,5,7
"4305",1,2,1,1,1,1
"4306",8,6,6,7,3,6
"4307",14,15,14,14,13,14
"4308",4,3,1,2,3,4
"4309",11,8,9,7,7,8
"4310",4,4,4,4,4,4
"4311",6,8,7,9,9,9
"4312",4,3,4,4,4,4
"4313",2,3,3,3,3,3
"4315",2,1,1,1,1,1
"4316",5,4,5,4,5,4
"4317",10,10,9,9,9,10
"4318",7,6,5,6,6,4
"4319",4,4,5,5,5,5
"4320",4,4,3,4,3,5
"4321",8,7,7,8,7,6
"4322",15,11,12,13,13,13
"4323",5,6,6,8,7,6
"4324",5,4,6,4,7,6
"4325",4,3,3,4,5,3
"4327",1,1,2,1,1,2
"4329",2,2,4,4,2,2
"4330",1,2,4,2,1,2
"4331",2,3,2,1,1,2
"4332",5,5,5,4,2,5
"4333",4,4,4,4,4,4
"4334",3,5,3,5,3,5
"4335",8,9,9,9,9,9
"4336",10,9,9,9,9,10
"4337",7,6,7,6,6,6
"4338",24,26,26,26,26,23
"4339",23,23,22,20,21,21
"4340",4,5,4,4,5,5
"4341",6,7,7,6,6,5
"4342",11,11,11,11,11,11
"4343",4,2,3,4,3,2
"4344",2,3,4,3,1,3
"4345",10,10,8,7,9,8
"4346",7,8,4,6,5,7
"4347",9,10,8,8,9,11
"4348",12,10,9,10,11,10
"4349",1,1,2,1,1,1
"4350",3,2,3,1,3,3
"4351",2,2,2,2,2,2
"4352",10,13,9,12,11,11
"4353",7,7,5,7,6,6
"4354",18,19,18,18,18,18
"4355",11,9,9,8,10,9
"4356",14,12,11,12,11,12
"4357",2,1,1,1,1,1
"4358",2,1,2,3,2,3
"4359",12,13,13,14,13,13
"4360",16,17,18,18,15,16
"4361",10,9,9,11,9,11
"4362",4,3,4,4,2,3
"4363",13,12,13,12,12,12
"4364",5,4,5,4,6,4
"4365",5,5,6,6,6,5
"4366",10,10,10,10,9,10
"4367",9,7,9,9,8,7
"4368",4,3,4,3,3,3
"4369",1,1,2,1,2,1
"4370",23,24,22,21,20,22
"4371",6,5,6,6,6,6
"4373",5,4,3,4,4,5
"4374",2,4,3,3,3,3
"4375",23,22,24,21,22,22
"4376",8,8,9,8,8,9
"4377",7,7,7,6,8,7
"4378",12,11,12,11,10,10
"4379",7,8,8,7,7,7
"4380",9,7,9,8,8,8
"4382",13,11,12,10,12,9
"4383",3,3,3,3,2,3
"4384",1,1,1,1,1,1
"4385",9,10,10,11,10,11
"4386",1,2,2,2,2,2
"4387",11,9,9,12,11,11
"4388",3,2,3,3,3,3
"4389",7,6,6,7,8,7
"4390",2,2,2,2,2,2
"4391",2,2,1,2,2,1
"4392",8,8,7,7,8,9
"4393",3,3,3,3,2,2
"4394",4,4,4,4,4,4
"4395",21,19,19,17,21,19
"4396",1,2,1,2,2,1
"4397",1,1,3,3,2,2
"4398",8,9,8,8,9,7
"4399",4,4,4,4,4,4
"4401",3,2,4,2,3,2
"4402",2,2,2,2,1,3
"4403",2,2,2,2,2,2
"4404",3,2,1,4,3,3
"4405",7,4,6,6,4,5
"4406",2,1,3,1,2,2
"4407",4,4,5,4,5,4
"4408",6,6,6,6,4,7
"4409",3,1,3,2,2,1
"4410",1,2,1,2,2,1
"4411",3,3,1,2,3,1
"4412",2,2,2,1,2,2
"4413",5,4,6,4,4,4
"4414",2,3,4,3,4,2
"4415",3,2,2,2,2,2
"4416",9,8,9,10,9,11
"4417",6,4,4,6,4,5
"4418",4,5,4,5,5,5
"4419",3,2,4,3,3,4
"4420",3,3,2,2,3,2
"4421",10,7,11,12,10,10
"4422",11,10,10,10,10,10
"4425",2,3,3,4,2,4
"4426",11,11,11,13,10,11
"4427",5,4,4,4,5,3
"4429",3,3,5,3,5,5
"4430",7,7,7,6,5,6
"4431",5,4,6,5,5,4
"4432",4,3,4,4,4,2
"4433",6,7,6,6,7,6
"4434",1,1,2,2,1,1
"4435",9,5,10,8,9,7
"4436",4,6,6,7,7,6
"4437",4,3,3,3,2,4
"4438",2,3,3,3,3,3
"4439",6,7,7,7,6,6
"4440",2,3,2,2,3,2
"4441",12,10,10,10,9,10
"4442",2,1,1,2,2,1
"4443",10,10,9,13,15,12
"4444",5,3,4,4,5,6
"4445",1,1,1,1,1,1
"4446",4,3,4,4,3,3
"4447",17,14,15,15,17,15
"4448",3,2,2,3,1,2
"4449",1,2,2,2,2,2
"4450",6,6,8,7,6,7
"4451",9,7,9,8,8,8
"4452",4,4,5,5,5,5
"4453",9,8,10,9,8,10
"4454",4,3,4,5,1,4
"4455",3,3,3,1,3,3
"4456",6,6,8,8,5,6
"4457",2,2,3,2,3,3
"4458",2,1,2,2,1,1
"4459",5,5,5,4,3,6
"4460",6,5,4,5,7,5
"4461",13,12,12,14,15,13
"4462",5,4,4,3,3,4
"4463",11,11,9,11,9,9
"4464",5,5,6,6,5,5
"4465",8,6,7,9,7,8
"4466",8,7,9,8,9,6
"4467",8,8,9,7,7,8
"4468",1,2,1,2,1,2
"4469",3,4,2,4,4,3
"4470",3,3,1,4,3,4
"4471",12,12,12,11,11,12
"4472",7,7,5,7,6,5
"4473",13,13,12,11,13,13
"4474",2,3,2,1,2,2
"4475",6,5,4,5,4,4
"4476",4,4,4,4,4,4
"4477",9,8,8,9,9,9
"4478",5,6,6,6,5,6
"4479",2,1,1,1,1,1
"4480",24,24,24,26,24,21
"4481",5,5,6,5,5,6
"4482",12,13,12,12,12,11
"4483",19,19,20,20,20,19
"4484",5,1,3,3,4,2
"4485",6,5,6,5,3,4
"4486",2,3,3,3,3,3
"4488",4,5,3,3,2,5
"4489",4,2,2,3,3,2
"4490",4,4,3,4,4,4
"4491",2,2,2,2,3,2
"4492",5,5,3,3,4,3
"4493",16,14,15,15,17,15
"4494",7,6,7,8,6,7
"4495",5,5,4,5,5,4
"4496",2,3,3,3,3,3
"4497",3,2,1,3,3,3
"4498",4,4,4,3,4,3
"4499",4,4,4,3,3,5
"4500",4,4,4,4,4,4
"4501",8,8,7,8,8,8
"4502",2,3,2,2,2,2
"4503",2,1,1,2,1,1
"4504",2,1,1,3,1,1
"4505",8,5,5,7,6,5
"4506",3,4,3,4,2,3
"4507",5,6,5,6,5,5
"4508",8,7,8,8,6,6
"4509",2,2,1,4,3,3
"4510",2,1,3,2,3,2
"4511",3,2,2,2,2,1
"4513",12,12,11,11,11,11
"4515",2,1,1,2,2,1
"4516",5,3,4,5,3,4
"4517",11,10,11,12,12,9
"4518",2,1,2,1,2,1
"4519",5,3,3,4,4,5
"4520",14,9,11,11,12,14
"4521",2,2,2,3,3,2
"4523",6,5,5,6,6,6
"4524",12,13,12,9,11,13
"4525",2,2,2,1,2,2
"4526",3,2,1,2,1,2
"4527",8,8,7,8,8,8
"4528",5,7,7,6,7,7
"4529",2,4,4,4,4,3
"4530",5,5,6,6,6,6
"4531",4,4,4,3,5,4
"4532",2,2,2,2,1,3
"4533",4,4,5,5,3,3
"4534",7,7,7,7,8,7
"4535",6,7,6,5,6,6
"4536",2,3,3,3,3,2
"4537",6,4,3,6,6,5
"4538",7,8,4,6,7,8
"4539",2,4,3,4,4,4
"4540",15,15,14,14,16,12
"4541",2,2,2,1,1,1
"4542",4,5,5,6,5,6
"4543",12,12,11,10,12,11
"4544",3,3,2,1,1,2
"4545",4,3,4,4,3,4
"4546",3,2,3,1,3,2
"4548",3,3,2,3,3,3
"4549",3,3,3,3,2,1
"4550",8,7,8,10,8,6
"4551",3,3,3,3,3,3
"4552",1,2,2,1,1,2
"4554",2,2,2,1,1,2
"4555",6,5,5,4,5,3
"4557",3,3,3,3,3,3
"4559",2,2,1,2,2,2
"4560",4,4,3,2,4,1
"4561",3,3,2,2,3,4
"4562",4,4,2,2,2,3
"4564",3,3,3,3,3,3
"4565",14,11,15,15,12,13
"4567",4,6,5,8,6,8
"4568",6,9,7,8,7,7
"4569",6,7,7,9,11,9
"4570",9,10,10,11,10,8
"4571",5,5,6,5,3,5
"4572",3,4,3,4,5,1
"4573",6,7,5,6,6,7
"4574",3,3,3,4,3,2
"4575",13,14,13,13,12,13
"4577",5,5,5,5,5,5
"4578",2,1,1,2,2,2
"4579",7,5,5,6,5,5
"4580",8,8,6,7,7,6
"4581",2,2,2,3,3,3
"4582",7,4,5,7,5,6
"4583",15,14,14,15,13,14
"4584",3,2,2,1,2,2
"4585",5,5,5,5,5,5
"4587",4,2,4,3,2,3
"4589",2,2,2,2,2,2
"4590",16,18,17,17,18,16
"4591",3,3,3,3,3,3
"4593",3,4,4,3,3,4
"4594",4,5,2,3,2,3
"4595",7,7,6,7,7,6
"4596",17,17,15,16,17,18
"4597",11,8,9,9,9,7
"4598",34,30,35,35,32,32
"4599",1,2,2,3,4,3
"4600",3,3,3,2,2,2
"4601",1,1,1,2,1,2
"4602",10,10,8,11,8,8
"4603",12,14,12,13,13,13
"4605",12,11,12,12,12,13
"4606",3,2,1,3,3,3
"4607",1,1,2,1,1,1
"4608",3,3,2,3,3,2
"4609",9,9,6,11,9,8
"4610",8,8,8,8,8,8
"4611",2,1,2,4,3,3
"4612",5,6,5,5,6,6
"4614",4,3,4,3,3,3
"4615",3,4,6,4,6,5
"4616",2,2,1,3,3,3
"4617",2,2,2,2,1,1
"4618",1,3,1,3,3,3
"4619",2,1,2,3,1,3
"4620",9,9,8,10,9,10
"4621",5,5,5,5,5,4
"4622",2,2,1,2,2,3
"4624",6,6,6,5,6,6
"4625",3,3,3,2,3,2
"4626",7,9,8,6,9,8
"4628",3,3,3,3,3,2
"4629",2,1,1,2,1,2
"4630",3,3,2,2,3,3
"4631",2,2,2,3,3,2
"4632",4,3,3,2,4,1
"4633",4,4,4,2,2,2
"4634",5,4,3,4,5,3
"4635",7,6,5,6,5,7
"4636",6,6,6,7,7,7
"4637",2,2,2,1,1,2
"4638",4,4,4,4,4,4
"4640",4,4,2,3,4,2
"4641",6,6,5,5,6,6
"4642",4,3,3,4,4,1
"4643",2,2,1,2,1,3
"4644",3,2,3,3,3,3
"4645",6,7,4,5,5,5
"4646",20,19,22,23,22,19
"4647",6,5,6,6,5,5
"4649",11,10,11,10,10,9
"4651",1,2,1,1,1,1
"4652",6,6,6,6,5,6
"4653",3,2,3,3,4,3
"4654",7,3,5,5,6,5
"4655",10,11,11,9,9,10
"4656",5,5,5,5,6,3
"4657",6,5,4,5,5,2
"4658",20,18,18,15,18,17
"4659",2,2,1,2,1,1
"4660",7,6,6,7,6,4
"4661",2,2,3,2,3,3
"4662",5,5,5,5,5,4
"4663",9,9,6,9,9,6
"4664",2,2,1,1,1,2
"4665",3,1,1,2,2,2
"4666",4,5,3,5,3,5
"4667",3,5,4,5,4,5
"4669",3,3,3,3,5,4
"4670",5,4,4,4,4,4
"4672",2,2,2,2,2,2
"4673",6,6,5,5,4,5
"4674",6,5,6,4,4,5
"4675",7,5,4,5,6,6
"4676",3,3,3,3,3,3
"4677",4,4,4,4,4,4
"4678",3,3,3,3,3,3
"4679",5,5,5,5,5,5
"4680",6,3,4,4,6,5
"4681",2,2,2,2,2,2
"4682",4,3,2,5,5,4
"4683",9,9,10,8,9,9
"4684",3,3,4,3,3,4
"4685",4,4,4,3,4,3
"4686",2,2,1,1,3,2
"4687",3,2,3,3,3,2
"4688",6,4,6,4,6,5
"4689",2,2,2,2,2,2
"4690",2,4,2,3,3,3
"4691",8,8,7,8,8,7
"4693",9,9,9,9,9,9
"4694",3,2,3,3,3,2
"4695",4,4,5,7,7,6
"4696",5,4,3,4,4,5
"4697",4,5,3,5,5,6
"4698",8,7,7,8,8,8
"4699",1,2,2,1,1,1
"4700",7,6,4,5,8,6
"4701",1,1,1,1,1,2
"4702",3,3,2,2,3,3
"4704",7,5,5,7,5,5
"4705",11,9,9,10,11,5
"4706",5,4,4,4,4,5
"4707",5,6,6,6,6,5
"4708",29,29,30,31,30,29
"4709",3,4,4,4,3,4
"4710",10,9,10,11,11,9
"4711",8,6,7,7,7,6
"4712",13,13,12,14,14,12
"4713",6,5,5,4,6,5
"4714",2,3,3,2,4,3
"4715",8,4,8,7,7,5
"4716",2,2,2,1,1,2
"4718",8,8,8,8,8,7
"4719",6,4,6,6,5,3
"4720",5,5,4,5,5,4
"4721",4,4,3,3,2,3
"4722",6,7,6,6,6,6
"4723",2,2,2,2,2,2
"4724",2,2,2,3,1,2
"4725",10,9,6,10,7,8
"4726",5,6,6,5,6,6
"4727",4,3,3,3,5,3
"4728",3,2,2,2,3,2
"4729",5,4,6,4,4,3
"4730",22,20,21,19,19,19
"4731",12,13,12,12,11,13
"4732",1,2,1,2,2,1
"4733",5,4,5,5,5,5
"4734",7,7,7,9,8,8
"4735",9,6,9,6,8,8
"4736",5,4,2,4,4,4
"4737",3,3,2,3,3,2
"4738",27,18,24,25,25,22
"4739",14,15,15,14,15,15
"4740",2,2,1,2,2,2
"4741",2,1,2,2,2,1
"4742",16,15,15,14,14,12
"4743",28,26,28,27,25,21
"4744",3,4,3,2,3,1
"4745",3,5,2,4,3,4
"4746",4,4,5,5,5,4
"4747",3,3,2,4,4,2
"4748",8,5,8,8,8,7
"4749",2,2,2,2,2,2
"4750",9,6,7,6,9,7
"4751",8,7,8,6,7,7
"4752",12,16,15,11,14,14
"4753",3,3,2,1,1,2
"4754",3,3,4,4,4,4
"4755",5,6,3,4,4,5
"4756",2,2,2,2,2,2
"4757",2,2,2,3,3,3
"4758",4,3,3,4,3,2
"4759",1,2,2,3,3,3
"4760",2,1,2,2,1,1
"4761",13,12,12,11,12,12
"4762",1,1,1,1,2,1
"4763",7,8,6,7,8,4
"4765",8,8,9,7,7,8
"4766",2,2,4,2,1,3
"4767",16,14,19,16,16,14
"4768",11,12,10,13,12,14
"4769",6,5,3,5,5,5
"4771",4,3,4,4,4,4
"4772",5,4,3,5,5,5
"4773",1,1,2,2,3,2
"4774",14,14,15,15,15,14
"4775",3,3,2,3,3,3
"4776",2,3,3,3,5,4
"4777",3,2,3,2,3,3
"4778",4,4,4,5,3,4
"4779",2,1,2,2,2,1
"4780",3,2,1,4,3,3
"4781",8,8,9,8,9,7
"4782",6,6,5,6,6,5
"4784",10,10,8,10,11,10
"4785",5,5,4,4,4,5
"4786",2,1,2,1,2,1
"4787",2,2,3,3,2,2
"4788",9,8,10,7,9,8
"4789",2,1,2,1,2,1
"4790",2,3,2,2,2,1
"4791",1,1,1,1,1,2
"4792",4,2,4,3,2,1
"4793",5,3,4,4,3,4
"4794",2,2,2,2,2,2
"4795",3,4,4,4,4,4
"4796",1,2,1,3,3,2
"4797",2,3,3,3,2,3
"4798",3,2,2,1,3,2
"4799",2,1,1,2,1,1
"4800",4,4,5,7,3,6
"4801",2,1,1,2,1,2
"4804",4,4,3,4,4,4
"4805",4,5,4,5,4,5
"4806",4,5,4,5,4,5
"4807",2,2,2,1,1,2
"4808",5,4,5,5,4,5
"4809",7,7,8,7,7,7
"4810",8,5,8,5,6,5
"4811",2,1,2,2,2,2
"4812",5,5,5,3,5,3
"4813",1,2,2,1,1,1
"4814",8,9,8,7,7,9
"4815",10,8,8,10,10,8
"4816",3,1,2,2,2,2
"4817",2,2,3,1,2,1
"4818",3,2,2,3,3,2
"4819",3,3,3,4,3,3
"4820",7,5,8,6,8,7
"4822",3,4,4,4,3,4
"4823",5,7,6,6,6,6
"4824",12,9,15,12,12,11
"4825",6,7,7,7,8,8
"4826",11,9,10,9,10,8
"4827",8,7,7,7,6,6
"4828",12,12,12,11,12,11
"4829",6,7,8,8,9,6
"4830",3,3,3,3,3,3
"4831",4,3,3,4,5,3
"4832",4,2,4,2,3,2
"4833",6,4,5,5,4,7
"4834",3,3,3,3,3,2
"4835",8,9,6,8,9,8
"4836",6,5,5,4,5,3
"4837",6,3,2,4,3,4
"4839",4,5,4,4,5,4
"4840",6,7,7,8,6,8
"4841",6,5,6,7,6,5
"4842",3,2,3,2,3,2
"4844",2,2,1,1,1,1
"4845",20,20,21,20,21,19
"4846",9,11,10,8,7,9
"4847",7,5,5,7,7,7
"4848",2,4,3,3,4,3
"4849",2,3,4,4,4,4
"4850",2,3,3,2,2,3
"4851",11,10,10,10,8,10
"4853",2,2,2,2,2,2
"4854",2,1,2,2,1,1
"4855",3,3,3,3,4,3
"4856",5,6,4,6,5,5
"4857",4,3,3,3,3,3
"4858",2,3,3,3,2,3
"4859",4,2,3,3,3,2
"4860",1,3,2,3,2,3
"4861",7,7,7,7,6,6
"4863",2,2,2,3,2,2
"4865",1,1,1,1,1,2
"4866",18,18,16,18,18,17
"4867",2,2,1,1,1,1
"4868",2,1,2,2,2,2
"4869",9,8,8,8,8,9
"4870",9,7,8,9,7,8
"4871",4,4,4,5,4,7
"4872",7,7,8,8,7,5
"4873",30,29,30,31,31,29
"4874",7,9,10,9,10,8
"4875",3,3,3,3,2,1
"4876",6,7,5,7,6,7
"4879",13,14,12,12,14,14
"4880",2,2,2,2,2,2
"4881",7,7,7,6,10,5
"4882",4,4,3,4,3,2
"4883",8,12,7,11,7,6
"4884",7,6,7,6,7,7
"4885",12,13,14,13,10,13
"4886",2,3,2,3,2,3
"4887",14,12,10,10,13,12
"4888",1,1,1,2,1,1
"4889",2,4,2,4,3,3
"4890",12,10,10,10,10,10
"4893",3,3,3,2,2,3
"4894",6,6,6,6,6,6
"4895",7,8,7,8,7,8
"4896",8,8,7,8,7,8
"4897",5,5,5,5,5,5
"4898",6,6,6,6,7,6
"4899",2,1,2,2,2,1
"4900",17,18,17,18,19,17
"4901",3,3,3,3,3,3
"4902",13,8,10,6,7,9
"4903",4,4,4,4,3,3
"4904",5,5,5,5,5,5
"4905",2,2,2,2,2,2
"4906",3,1,3,1,3,1
"4907",3,3,3,2,3,3
"4909",4,4,3,3,4,2
"4910",7,6,6,5,7,6
"4911",2,2,1,2,2,2
"4912",16,14,12,18,16,14
"4913",7,6,6,7,7,7
"4916",2,2,2,2,2,2
"4918",5,4,5,5,3,5
"4920",1,2,2,2,1,2
"4921",4,3,4,4,4,4
"4922",4,5,5,5,6,5
"4923",13,13,11,12,12,11
"4924",11,10,9,10,11,11
"4925",3,1,3,2,3,3
"4926",13,14,13,13,13,14
"4927",8,9,7,8,8,9
"4928",10,8,7,9,8,7
"4929",2,1,3,4,2,3
"4930",3,2,4,3,3,3
"4931",4,4,3,4,5,4
"4932",1,3,2,1,2,1
"4933",2,2,2,1,2,1
"4934",2,3,2,3,3,2
"4935",3,1,4,3,4,1
"4936",5,4,5,5,5,4
"4937",15,13,14,15,13,14
"4938",5,5,7,7,7,6
"4939",5,5,5,5,5,5
"4940",1,2,2,2,2,2
"4941",6,6,6,5,6,5
"4942",6,4,5,5,6,6
"4943",14,14,14,14,13,13
"4944",4,4,3,4,4,5
"4945",15,15,15,16,16,16
"4947",1,2,2,2,2,2
"4949",1,3,1,2,1,3
"4950",2,3,2,3,4,4
"4952",1,1,1,2,2,2
"4953",3,2,2,2,2,2
"4954",8,8,8,9,9,10
"4955",8,7,8,7,6,7
"4956",10,7,9,9,9,7
"4958",3,2,3,3,3,4
"4959",8,9,8,7,7,8
"4960",4,3,6,7,3,7
"4961",2,1,2,3,1,1
"4962",8,10,9,10,11,10
"4963",5,5,5,5,5,3
"4965",5,5,6,6,5,5
"4966",1,1,2,2,1,1
"4967",10,9,7,9,9,9
"4969",16,11,17,17,15,15
"4970",2,4,3,5,3,4
"4971",8,8,9,8,9,9
"4972",8,5,7,5,6,5
"4973",9,9,10,10,12,10
"4974",7,6,6,6,8,5
"4975",23,23,23,23,21,21
"4976",4,3,5,4,4,3
"4977",10,11,12,11,12,11
"4978",10,8,10,9,8,7
"4979",3,2,1,3,2,2
"4981",2,1,2,1,1,1
"4982",2,1,1,2,1,1
"4983",2,3,3,2,1,2
"4984",5,5,6,4,4,4
"4985",2,2,2,3,3,2
"4986",5,7,5,6,7,6
"4987",6,4,5,3,5,4
"4988",7,6,5,6,6,5
"4989",3,3,4,3,4,4
"4990",4,4,4,2,3,4
"4991",9,9,8,6,5,7
"4992",4,2,1,3,4,2
"4993",11,11,11,10,10,10
"4994",9,11,11,11,10,10
"4996",6,6,6,7,6,7
"4997",5,5,6,5,6,6
"4998",2,2,1,2,2,2
"4999",14,15,16,14,15,14
"5000",6,5,5,6,6,4
"5002",3,4,3,4,3,4
"5003",6,5,5,5,5,4
"5004",2,3,2,3,3,4
"5005",8,8,9,8,8,8
"5006",5,5,3,4,4,5
"5007",6,6,6,8,7,7
"5008",4,4,3,5,5,5
"5009",6,6,5,7,7,6
"5010",14,14,15,15,13,15
"5011",9,9,8,8,10,7
"5012",4,4,4,5,5,5
"5013",5,6,7,7,5,6
"5014",7,6,7,6,6,7
"5016",18,16,15,14,16,12
"5017",11,12,11,11,12,11
"5018",41,41,35,33,34,31
"5019",4,5,3,2,5,5
"5020",9,10,10,9,8,9
"5021",11,8,8,9,9,8
"5022",3,1,3,3,3,2
"5023",10,9,7,8,8,6
"5024",9,9,9,10,8,8
"5026",4,1,2,4,3,2
"5027",26,25,24,26,25,29
"5028",18,17,17,17,18,18
"5029",4,4,6,4,5,5
"5030",21,23,23,18,20,21
"5031",6,7,8,10,7,8
"5032",4,3,4,4,4,4
"5033",2,2,1,1,1,2
"5034",7,7,7,7,9,8
"5035",17,17,17,15,17,16
"5036",1,2,2,2,2,2
"5037",3,3,3,3,3,3
"5038",7,5,6,6,7,6
"5039",2,1,2,2,1,2
"5040",17,16,17,18,17,17
"5041",6,3,7,4,5,7
"5042",17,17,16,17,17,17
"5043",12,13,13,12,12,13
"5044",2,4,3,4,4,3
"5045",9,9,9,9,9,9
"5046",15,15,17,16,13,15
"5047",2,2,2,2,2,2
"5048",3,3,2,3,4,3
"5049",9,7,10,8,10,8
"5050",1,1,1,1,1,1
"5051",7,6,5,5,6,5
"5052",5,4,5,4,4,5
"5053",4,4,2,1,3,1
"5054",12,7,8,11,8,8
"5055",6,5,4,5,6,5
"5056",7,6,7,6,7,7
"5057",2,2,2,2,2,2
"5058",2,2,2,2,3,3
"5059",2,2,2,2,2,1
"5060",1,2,2,2,2,2
"5061",7,6,6,6,7,6
"5062",4,5,4,4,5,5
"5063",4,4,5,4,4,5
"5064",3,3,3,3,3,3
"5065",16,14,13,15,14,15
"5066",11,10,8,11,9,9
"5067",13,13,12,14,12,13
"5068",13,15,10,12,13,13
"5070",3,2,3,3,4,2
"5071",3,2,4,3,3,3
"5072",6,5,8,8,7,8
"5073",4,4,5,4,4,4
"5075",3,3,2,3,3,3
"5076",4,4,5,4,5,4
"5077",9,9,9,9,8,8
"5078",13,13,13,13,13,13
"5080",1,2,1,2,2,2
"5081",3,4,3,3,3,3
"5082",9,9,9,7,10,9
"5083",5,6,6,4,4,5
"5084",5,6,5,4,5,5
"5085",3,4,4,4,5,4
"5086",3,3,3,4,3,4
"5087",3,3,3,3,3,3
"5088",6,5,5,6,5,5
