"","number_of_peptides_A_3","number_of_peptides_B_3","number_of_peptides_A_2","number_of_peptides_B_1","number_of_peptides_A_1","number_of_peptides_B_2"
"4915",6,10,5,6,6,7
"4916",7,9,9,8,8,8
"4917",2,1,2,2,1,2
"4918",4,5,3,6,5,1
"4921",6,5,7,6,6,5
"4922",10,4,6,8,5,5
"4923",3,1,3,1,3,2
"4925",4,3,3,2,3,3
"4926",5,6,5,4,5,6
"4927",27,31,20,24,30,36
"4928",8,6,6,8,7,4
"4930",35,38,33,30,32,33
"4931",2,2,1,2,1,2
"4932",4,3,2,3,4,2
"4933",6,4,6,4,2,3
"4935",4,4,3,6,3,5
"4936",6,6,4,2,3,3
"4937",11,8,12,9,8,11
"4938",5,6,6,6,5,8
"4939",7,8,5,8,7,9
"4940",18,24,19,24,14,19
"4941",11,9,8,7,8,4
"4943",4,5,8,7,4,5
"4944",9,10,7,13,7,9
"4945",2,3,3,3,3,2
"4946",1,1,3,3,2,3
"4947",6,6,5,6,4,6
"4948",2,2,1,3,3,3
"4950",3,6,3,5,5,5
"4951",4,5,4,4,2,2
"4953",2,2,1,2,1,3
"4956",4,4,4,5,5,4
"4957",7,4,6,4,7,3
"4958",7,9,3,5,5,7
"4961",4,4,3,6,3,3
"4962",8,5,5,5,6,8
"4963",2,3,3,5,5,3
"4964",2,3,1,2,1,2
"4965",2,6,1,5,3,4
"4967",16,9,9,11,11,11
"4968",1,1,1,1,2,1
"4970",2,5,3,4,5,4
"4971",1,3,2,2,2,2
"4973",13,11,11,8,8,13
"4974",4,5,5,6,4,4
"4975",3,4,4,3,3,2
"4977",9,11,10,11,9,11
"4979",11,11,5,11,10,13
"4980",1,2,2,2,5,2
"4981",5,7,5,3,7,7
"4982",2,5,4,3,1,7
"4983",5,4,7,7,6,7
"4984",6,3,9,5,9,9
"4985",5,9,7,9,7,6
"4987",5,5,5,2,3,3
"4988",1,2,1,2,1,1
"4989",7,7,7,9,2,3
"4990",11,15,8,8,9,12
"4991",4,5,5,5,6,5
"4992",6,6,6,7,3,6
"4993",59,66,55,60,51,71
"4994",4,5,6,5,5,3
"4995",16,14,15,15,13,13
"4996",10,10,4,6,5,8
"4997",16,15,10,15,10,13
"4998",7,7,6,7,3,5
"5000",8,6,8,7,3,5
"5001",4,5,6,6,3,2
"5004",11,12,11,12,12,8
"5006",2,1,1,1,1,1
"5007",3,4,4,6,4,6
"5008",6,8,5,6,4,8
"5009",3,5,2,3,3,2
"5010",10,14,8,9,9,10
"5011",1,1,3,2,2,1
"5012",2,2,3,2,1,2
"5014",13,14,7,13,10,11
"5015",6,6,7,7,5,7
"5016",4,4,4,4,4,4
"5017",8,5,5,3,2,6
"5018",32,37,29,28,24,29
"5019",16,16,16,18,17,15
"5020",6,5,2,5,5,6
"5021",13,10,13,9,11,13
"5022",5,9,6,6,6,5
"5023",7,8,9,6,6,7
"5024",1,3,3,3,3,1
"5025",32,32,23,27,20,27
"5026",34,34,29,25,27,31
"5029",20,20,19,16,16,23
"5030",37,42,29,44,38,35
"5031",6,3,2,3,2,3
"5032",1,3,3,2,3,4
"5033",5,3,3,6,4,4
"5037",6,10,3,4,8,4
"5038",2,2,1,4,3,2
"5040",6,8,5,9,7,8
"5041",12,16,13,14,10,13
"5042",19,15,20,19,18,16
"5043",1,5,3,3,1,5
"5044",3,2,3,4,5,3
"5045",4,3,4,6,3,5
"5047",2,2,2,2,2,2
"5049",3,4,4,5,7,4
"5050",2,1,2,2,2,2
"5051",2,1,1,1,1,1
"5052",19,21,20,13,20,18
"5054",7,8,4,7,5,8
"5056",9,8,5,10,7,8
"5057",2,3,1,1,3,1
"5058",18,20,11,16,12,17
"5059",20,22,23,16,23,22
"5061",5,6,1,4,5,5
"5062",7,7,7,8,5,6
"5063",4,5,2,4,3,2
"5064",25,24,25,26,20,22
"5067",4,5,5,5,4,4
"5068",6,4,4,1,4,4
"5069",4,5,4,4,6,6
"5070",4,4,4,6,5,6
"5071",2,5,6,1,1,4
"5072",3,3,1,2,1,2
"5073",7,10,5,6,10,8
"5074",6,5,5,6,5,6
"5075",11,10,10,12,11,11
"5076",5,3,4,7,4,6
"5078",4,2,8,3,4,5
"5080",8,12,8,5,7,9
"5081",1,2,3,2,3,2
"5084",4,4,3,3,3,3
"5086",7,4,6,7,4,7
"5087",3,1,3,4,3,5
"5089",4,5,5,5,4,5
"5091",4,6,4,9,5,4
"5092",1,1,1,3,1,2
"5093",3,3,3,2,3,3
"5094",3,3,2,2,3,3
"5095",8,11,8,6,7,9
"5096",11,8,7,7,8,8
"5097",2,3,1,4,4,2
"5099",3,8,5,5,3,6
"5100",11,12,10,9,10,11
"5101",10,9,6,4,6,9
"5102",4,5,6,5,4,5
"5103",1,2,2,2,1,2
"5104",7,4,6,6,6,6
"5105",8,10,12,11,9,11
"5109",1,3,1,1,1,2
"5111",7,6,4,10,5,6
"5113",6,8,6,8,9,8
"5114",7,3,3,4,4,5
"5115",22,18,10,15,11,10
"5116",6,8,8,10,10,9
"5117",11,10,9,12,6,11
"5118",8,9,7,5,4,5
"5119",15,22,15,17,15,17
"5120",7,6,8,10,8,9
"5121",2,3,2,1,2,2
"5122",6,7,2,8,4,7
"5123",4,5,4,3,3,4
"5124",10,12,9,4,8,9
"5126",3,6,5,5,2,3
"5127",6,9,6,10,10,6
"5128",5,4,6,8,6,6
"5129",2,6,5,4,3,6
"5130",3,3,1,1,2,1
"5131",5,6,6,6,5,7
"5132",8,9,6,6,7,8
"5133",1,6,4,8,6,10
"5134",3,2,1,2,1,4
"5135",3,5,2,1,1,1
"5136",32,38,30,33,30,29
"5137",4,4,1,2,5,3
"5138",10,15,10,8,7,9
"5139",7,4,7,8,6,7
"5140",2,5,6,4,5,4
"5142",3,2,3,3,2,2
"5144",11,10,8,8,8,10
"5146",4,3,2,4,4,3
"5147",5,5,5,6,5,6
"5148",4,8,7,10,7,5
"5149",5,4,1,3,4,4
"5151",6,5,2,3,3,4
"5153",3,4,4,3,1,3
"5154",2,2,3,3,2,4
"5155",10,10,13,9,11,8
"5159",37,39,37,37,36,41
"5161",2,3,2,1,1,4
"5162",15,18,12,11,11,12
"5163",6,10,5,4,8,8
"5164",3,10,4,4,6,4
"5165",9,15,11,15,8,9
"5166",36,46,36,47,32,39
"5167",10,14,10,9,9,10
"5168",4,4,3,4,1,5
"5169",6,7,5,6,8,5
"5171",17,18,14,12,12,19
"5173",6,8,6,7,5,4
"5174",2,7,2,3,2,4
"5175",7,10,10,10,10,10
"5176",6,14,7,6,5,6
"5177",19,19,17,21,19,15
"5178",5,6,4,5,6,4
"5179",8,20,9,9,5,8
"5180",4,2,4,3,3,3
"5182",17,16,15,14,12,20
"5185",3,1,1,5,5,2
"5186",6,6,5,5,6,8
"5187",10,11,9,7,8,8
"5188",6,10,8,5,11,7
"5189",5,5,4,2,3,2
"5190",13,8,8,8,7,7
"5191",1,1,2,1,1,1
"5192",21,27,20,22,22,28
"5193",2,2,1,2,2,1
"5194",17,17,10,13,10,15
"5195",5,4,6,3,4,3
"5197",6,8,5,8,6,8
"5198",4,2,3,3,3,2
"5200",4,3,3,2,2,5
"5203",1,2,2,2,2,1
"5204",4,4,3,3,1,3
"5205",5,6,3,3,6,7
"5207",21,24,23,28,21,33
"5208",8,11,13,12,13,8
"5212",4,8,3,5,5,7
"5214",5,3,4,5,4,5
"5215",4,8,8,6,5,4
"5216",16,17,13,11,16,11
"5217",24,23,16,22,18,23
"5218",4,3,2,2,1,3
"5219",14,15,15,16,13,14
"5220",6,5,9,7,6,10
"5221",5,8,11,8,7,6
"5223",1,2,2,6,2,2
"5224",2,3,4,6,1,6
"5227",4,3,6,4,4,4
"5228",1,2,2,3,2,3
"5229",9,12,5,10,4,6
"5230",26,27,20,31,24,26
"5231",6,4,5,6,6,5
"5232",8,9,6,10,6,7
"5233",3,3,2,2,3,3
"5234",9,8,5,8,5,6
"5235",4,6,4,6,5,6
"5236",19,20,11,13,10,14
"5237",4,6,5,6,5,6
"5238",20,20,21,22,15,15
"5240",3,3,2,3,3,5
"5243",1,3,3,2,3,6
"5246",5,4,1,4,2,3
"5247",3,3,1,2,2,2
"5248",3,5,7,7,8,7
"5249",9,8,8,7,6,9
"5250",9,9,8,4,10,7
"5252",3,1,1,3,3,2
"5253",9,12,9,11,8,9
"5254",3,2,3,10,5,3
"5255",1,2,2,3,3,3
"5257",13,9,8,12,12,11
"5258",3,3,3,3,3,2
"5261",6,6,7,7,7,8
"5263",12,13,13,10,10,14
"5265",14,18,12,12,7,11
"5266",3,1,4,4,4,4
"5268",9,11,11,12,9,14
"5269",7,8,7,9,7,6
"5270",14,11,14,13,14,13
"5271",7,9,6,9,7,10
"5273",29,29,27,23,26,28
"5274",5,6,3,6,6,4
"5275",14,12,13,10,12,16
"5276",12,11,9,11,10,9
"5277",1,3,3,3,3,1
"5278",2,2,1,1,1,1
"5279",2,1,2,4,2,1
"5281",7,12,10,11,10,8
"5282",3,3,3,5,3,1
"5283",5,6,5,6,7,5
"5285",5,2,3,6,4,5
"5288",4,3,4,7,6,6
"5289",4,4,4,4,3,4
"5290",10,13,14,9,17,9
"5291",1,5,2,4,2,2
"5292",19,25,18,17,17,19
"5293",12,15,13,11,10,12
"5295",12,11,7,8,5,7
"5296",9,9,9,7,8,9
"5299",1,2,2,3,1,3
"5300",36,32,33,31,26,39
"5301",7,9,6,5,2,1
"5303",1,4,1,3,4,3
"5304",4,3,4,4,5,4
"5305",2,3,2,2,3,2
"5306",6,6,7,4,4,4
"5307",17,16,15,13,12,10
"5308",5,8,4,2,2,4
"5309",6,9,9,10,6,6
"5310",5,3,2,6,2,6
"5311",8,12,5,6,6,6
"5312",1,3,3,2,4,2
"5314",17,16,17,19,17,15
"5315",11,12,8,10,10,7
"5316",6,9,5,10,6,9
"5317",6,7,7,8,8,8
"5318",2,2,3,4,1,6
"5319",8,8,6,9,7,7
"5321",11,14,13,12,11,15
"5322",17,22,17,23,21,18
"5323",20,20,17,20,16,20
"5324",28,37,35,40,28,33
"5325",6,6,7,8,6,4
"5326",7,8,9,9,7,10
"5327",7,11,8,6,11,8
"5329",8,9,8,7,9,6
"5330",12,15,9,11,12,9
"5331",6,5,5,6,2,3
"5333",37,40,36,34,39,40
"5334",61,64,57,65,59,64
"5335",6,4,5,5,7,5
"5336",26,29,27,25,22,22
"5337",5,7,4,7,6,6
"5338",4,4,3,3,3,4
"5339",1,6,3,2,4,4
"5340",12,15,9,9,10,10
"5341",34,33,28,34,26,32
"5343",4,3,4,2,4,6
"5344",6,5,5,6,4,6
"5346",16,20,22,22,18,18
"5347",11,7,5,3,6,7
"5348",40,44,37,41,37,37
"5349",48,51,48,49,44,44
"5351",14,13,13,10,14,15
"5352",22,21,20,22,22,29
"5354",2,4,4,5,6,5
"5355",14,18,9,9,9,15
"5356",3,4,1,1,1,2
"5357",7,8,8,6,5,6
"5358",8,7,6,3,5,5
"5360",5,13,7,8,8,12
"5361",3,3,4,4,5,3
"5362",9,9,7,5,5,7
"5363",3,2,3,3,3,1
"5364",4,2,2,5,2,4
"5366",5,3,4,2,3,1
"5367",10,7,4,1,6,4
"5368",6,9,5,6,4,8
"5369",4,5,3,5,4,7
"5370",4,3,2,2,2,2
"5371",23,30,22,21,22,26
"5372",10,12,15,10,9,14
"5373",13,15,12,20,13,14
"5374",2,1,1,1,1,3
"5375",14,16,15,15,13,15
"5377",6,1,1,3,2,4
"5379",10,9,10,9,11,11
"5380",2,4,4,4,6,6
"5382",6,7,4,8,4,6
"5383",5,6,2,2,3,4
"5384",8,13,9,9,7,9
"5385",24,30,22,26,20,27
"5387",3,7,6,3,9,4
"5388",11,9,7,9,6,8
"5389",4,4,5,5,5,5
"5390",8,2,8,5,6,5
"5391",7,5,7,6,10,5
"5392",6,5,5,5,5,2
"5393",4,2,3,3,2,2
"5394",7,8,5,8,9,5
"5395",2,3,2,2,2,5
"5396",8,7,3,4,3,4
"5397",4,3,5,6,4,4
"5398",4,4,4,5,4,4
"5400",4,4,1,2,1,2
"5401",1,4,3,2,3,2
"5402",2,2,3,5,1,3
"5403",5,6,1,5,7,4
"5404",0,1,3,1,1,2
"5405",5,5,4,6,7,5
"5406",22,21,20,18,17,20
"5407",21,25,23,21,22,25
"5408",4,2,1,4,1,2
"5410",4,1,5,3,6,5
"5411",1,3,2,2,2,3
"5413",10,13,13,10,10,7
"5414",6,8,7,6,5,6
"5415",4,4,2,3,2,1
"5416",5,7,3,4,3,3
"5417",1,1,3,2,4,2
"5418",17,16,15,14,13,20
"5420",17,18,17,19,19,16
"5421",3,4,3,4,4,1
"5422",102,122,108,99,88,107
"5423",7,10,5,8,3,6
"5424",2,4,2,3,2,1
"5425",6,4,7,7,8,5
"5426",7,8,6,9,6,6
"5428",39,42,34,35,33,39
"5429",30,36,31,35,33,31
"5431",1,1,1,2,1,2
"5432",10,16,8,14,8,11
"5433",16,18,16,17,14,15
"5434",14,18,11,16,12,15
"5436",3,6,3,1,4,1
"5437",6,6,6,9,8,9
"5438",4,3,4,7,5,1
"5439",26,21,20,25,28,27
"5443",8,6,10,5,3,7
"5445",5,6,5,8,6,6
"5446",12,13,10,14,8,13
"5447",4,3,6,7,6,4
"5449",26,22,21,28,20,23
"5450",11,11,12,11,7,9
"5451",1,2,1,1,2,1
"5452",6,8,7,6,5,6
"5453",3,3,2,2,3,3
"5454",21,22,21,23,18,24
"5455",20,21,19,13,20,24
"5456",5,5,6,3,4,4
"5457",26,35,28,30,33,31
"5458",4,7,5,4,7,6
"5460",4,4,4,5,5,6
"5461",2,2,2,3,2,2
"5462",12,14,10,8,8,6
"5463",3,5,3,2,3,2
"5464",9,7,7,7,8,8
"5465",1,1,3,2,1,2
"5467",12,10,10,9,8,11
"5468",9,9,9,6,10,8
"5469",4,5,1,1,2,1
"5470",3,3,3,4,5,3
"5472",6,6,6,8,8,8
"5474",9,16,12,12,9,11
"5475",23,27,19,15,19,19
"5476",4,3,4,3,2,4
"5477",3,4,3,6,3,6
"5478",21,29,18,26,20,27
"5480",9,10,9,11,10,15
"5481",5,4,3,5,4,6
"5482",13,14,12,14,17,15
"5483",1,2,2,2,1,1
"5484",12,12,10,12,11,14
"5485",3,2,1,2,2,0
"5487",5,2,5,5,3,2
"5488",6,9,6,4,5,10
"5489",18,26,20,18,22,21
"5492",19,17,15,19,20,19
"5493",2,3,3,3,3,3
"5494",2,3,4,3,3,3
"5495",2,3,3,2,3,4
"5497",1,1,1,2,2,3
"5498",15,8,9,16,10,14
"5501",4,2,1,2,2,1
"5502",4,5,9,7,2,4
"5503",3,4,1,2,1,4
